,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2015-03-10,2072.25,2083.49,2072.21,2079.43,491672606
2015-03-11,2076.14,2076.14,2044.16,2044.16,618042903
2015-03-12,2044.69,2050.08,2039.69,2040.24,540138591
2015-03-13,2041.1,2066.41,2041.1,2065.95,541588132
2015-03-14,2064.56,2064.56,2041.17,2053.4,553445667
2015-03-17,2055.35,2081.41,2055.35,2081.19,541612324
2015-03-18,2080.59,2080.59,2065.08,2074.28,475714134
2015-03-19,2072.84,2106.85,2061.23,2099.5,628925946
2015-03-20,2098.69,2098.69,2085.56,2089.27,528262488
2015-03-21,2090.32,2113.92,2090.32,2108.1,1560822488
2015-03-24,2107.99,2114.86,2104.42,2104.42,500086465
2015-03-25,2103.94,2107.63,2091.5,2091.5,512610880
2015-03-26,2093.1,2097.43,2061.05,2061.05,582073426
2015-03-27,2059.94,2067.15,2045.5,2056.15,619686786
2015-03-28,2055.78,2062.83,2052.96,2061.02,537750961
2015-03-31,2064.11,2088.97,2064.11,2086.24,493690723
2015-04-01,2084.05,2084.05,2067.04,2067.89,663987797
2015-04-02,2067.63,2067.63,2048.38,2059.69,564988727
2015-04-03,2060.03,2072.17,2057.32,2066.96,484704255
2015-04-07,2064.87,2086.99,2056.52,2080.62,603791492
2015-04-08,2080.79,2089.81,2076.1,2076.33,436475554
2015-04-09,2076.94,2086.69,2073.3,2081.9,488249204
2015-04-10,2081.29,2093.31,2074.29,2091.18,473659522
2015-04-11,2091.51,2102.61,2091.51,2102.06,467375544
2015-04-14,2102.03,2107.65,2092.33,2092.43,489876530
2015-04-15,2092.28,2098.62,2083.24,2095.84,449838753
2015-04-16,2097.82,2111.91,2097.82,2106.63,561622715
2015-04-17,2105.96,2111.3,2100.02,2104.99,494694374
2015-04-18,2102.58,2102.58,2072.37,2081.18,661794713
2015-04-21,2084.11,2103.94,2084.11,2100.4,481863950
2015-04-22,2102.82,2109.64,2094.38,2097.29,485076830
2015-04-23,2098.27,2109.98,2091.05,2107.96,505662373
2015-04-24,2107.21,2120.49,2103.19,2112.93,566843506
2015-04-25,2112.8,2120.92,2112.8,2117.69,555376586
2015-04-28,2119.29,2125.92,2107.04,2108.92,590999229
2015-04-29,2108.35,2116.09,2094.89,2114.76,549650994
2015-04-30,2112.49,2113.65,2097.41,2106.85,550784916
2015-05-01,2105.52,2105.52,2077.59,2085.51,686082642
2015-05-02,2087.38,2108.41,2087.38,2108.29,509568789
2015-05-05,2110.23,2120.95,2110.23,2114.49,458688406
2015-05-06,2112.63,2115.24,2088.46,2089.46,532113899
2015-05-07,2091.26,2098.42,2067.93,2080.15,552153155
